ds,y
2025-04-12,13.875
2025-04-13,12.85
2025-04-15,10.1375
2025-04-16,9.175
2025-04-17,8.1875
2025-04-18,13.0375
2025-04-19,11.5375
2025-04-20,8.6375
2025-04-21,12.025
2025-04-22,11.0375
2025-04-23,8.725
2025-04-24,11.775
2025-04-25,12.75
2025-04-26,10.525
2025-04-27,14.4
2025-04-28,14.2
2025-04-30,19.1125
2025-05-04,16.5375
2025-05-08,12.5875
2025-05-09,13.4
2025-05-15,17.425
2025-05-17,14.9625
2025-05-18,17.5125
2025-05-21,14.6375
2025-05-23,14.6875
2025-05-24,13.8625
2025-05-25,15.425
2025-05-26,15.925
2025-05-27,15.0875
2025-05-28,17.75
2025-05-29,19.8875
2025-05-30,23.725
2025-05-31,23.8375
2025-06-01,17.625
2025-06-02,16.175
2025-06-04,15.3125
2025-06-05,17.525
2025-06-06,18.8875
2025-06-07,17.4
2025-06-08,17.475
2025-06-09,17.9
2025-06-10,20.9375
2025-06-11,24.4875
2025-06-12,25.9875
2025-06-13,26.5375
2025-06-14,21.475
2025-06-15,17.2625
2025-06-20,26.2125
2025-06-21,27.4
2025-06-22,24.3375
2025-06-23,24.0625
2025-06-24,24.75
2025-06-25,25.45
2025-06-27,22.9375
2025-06-28,26.075
2025-06-29,27.8875
2025-06-30,29.025
2025-07-01,29.3625
2025-07-02,23.25
2025-07-03,24.45
2025-07-04,25.65
2025-07-05,23.9375
2025-07-06,18.375
2025-07-07,17.3125
2025-07-08,18.0
2025-07-09,19.9625
2025-07-10,22.3875
2025-07-11,26.2625
2025-07-12,22.625
2025-07-13,22.7375
2025-07-14,21.7125
2025-07-15,21.0875
2025-07-16,20.9125
2025-07-17,24.475
2025-07-18,25.0375
2025-07-19,20.2
2025-07-20,20.75
2025-07-21,18.65
2025-07-22,20.1875
2025-07-23,16.6
2025-07-24,17.6
2025-07-25,18.2875
2025-07-26,20.0625
2025-07-27,18.75
2025-07-28,19.475
2025-07-29,19.0
2025-07-30,19.5
2025-07-31,20.0375
2025-08-01,19.9375
2025-08-02,18.9375
2025-08-03,18.9875
2025-08-04,22.4375
2025-08-05,22.25
2025-08-06,19.0125
2025-08-07,23.4
2025-08-08,27.0875
2025-08-09,28.675
2025-08-10,27.5125
2025-08-11,30.0625
2025-08-12,28.8625
2025-08-13,27.8
2025-08-14,25.725
2025-08-15,29.3625
2025-08-16,29.4875
2025-08-17,25.8375
2025-08-18,22.0
2025-08-19,20.8
2025-08-20,18.5875
2025-08-21,18.4125
2025-08-22,19.95
2025-08-23,19.4125
2025-08-24,22.8375
2025-08-25,22.9375
2025-08-26,21.8875
2025-08-27,19.875
2025-08-28,18.275
2025-08-29,15.6625
2025-08-30,18.45
2025-08-31,19.375
2025-09-01,16.9625
2025-09-02,17.15
2025-09-03,21.5375
2025-09-04,17.6625
2025-09-05,16.1125
2025-09-06,21.875
2025-09-07,23.2
2025-09-08,18.725
2025-09-09,16.5875
2025-09-10,14.975
2025-09-11,16.3875
2025-09-12,15.6625
2025-09-13,16.55
2025-09-14,17.575
2025-09-15,18.6375
2025-09-16,14.8375
2025-09-17,16.275
2025-09-18,18.4625
2025-09-19,23.225
2025-09-20,22.6875
2025-09-21,14.2
2025-09-22,12.625
2025-09-23,8.7625
2025-09-24,10.025
2025-09-25,10.875
2025-09-26,10.075
2025-09-27,14.0375
2025-09-28,12.675
2025-09-29,14.2375
2025-09-30,12.7375
2025-10-01,13.525
2025-10-02,12.5375
2025-10-03,14.35
2025-10-04,14.8875
2025-10-05,10.425
2025-10-06,10.2
2025-10-07,13.4875
2025-10-08,15.2
2025-10-09,14.0125
2025-10-10,12.625
2025-10-11,14.6625
2025-10-12,15.625
2025-10-13,15.65
2025-10-14,15.6125
2025-10-15,12.75
2025-10-16,12.7875
2025-10-17,12.45
2025-10-18,13.1375
2025-10-19,15.875
2025-10-20,14.6625
2025-10-21,14.625
2025-10-22,16.3375
2025-10-23,13.225
2025-10-24,11.2125
2025-10-25,11.7625
2025-10-26,9.4125
